#	X(mm)	XP(mrad)	Y(mm)	YP(mrad)	Z(mm)	W(MeV)
0.101	-0.246	-0.497	-1.292	296.61	71.336
-0.161	1.07	-0.719	-1.008	-285.64	72.129
0.085	-1.194	-0.448	-0.532	-266.51	72.106
-0.302	0.449	0.101	0.223	-82.78	71.85
0.36	-1.28	0.863	0.796	-29.83	71.78
0.022	0.595	-0.469	-0.691	-251.25	72.082
0.017	-0.602	-0.005	0.244	-55.19	71.813
0.085	-0.253	0.155	0.434	239.62	71.411
0.221	-1.437	0.325	0.237	-288.92	72.133
0.59	-1.546	-0.704	-0.923	-140.48	71.931
0.25	-1.488	0.191	0.194	-291.85	72.138
0.109	-0.172	-0.16	0.262	-50.03	71.806
0.035	-0.313	-0.167	-0.085	-69.93	71.834
0.091	-0.406	0.516	0.399	179.75	71.494
-0.178	1.088	-0.49	-0.836	-193.49	72.001
-0.041	0.903	0.669	0.791	-127.94	71.912
0.232	0.414	0.2	0.125	-76.34	71.846
0.028	0.623	0.669	0.671	-205.53	72.02
0.503	-0.81	-0.32	-0.131	-180.54	71.983
-0.001	-0.635	-0.637	-0.749	-75.58	71.841
-0.149	0.487	0.134	-0.137	94.1	71.609
-0.386	1.525	-0.39	-0.295	-83.12	71.853
0.361	-1.532	-0.901	-1.13	-98.56	71.873
-0.285	1.525	0.417	0.672	-25.83	71.775
-0.051	0.705	0.051	0.291	-117.19	71.898
-0.167	-0.288	0.154	-0.046	39.52	71.684
0.054	0.109	-0.364	-1.052	205.02	71.458
-0.627	1.647	0.041	-0.031	-149.74	71.945
0.504	-1.844	-0.571	-0.664	-67.54	71.832
0.11	0.119	0.022	-0.091	-57.33	71.816
-0.048	0.49	-0.251	-0.687	-167.75	71.966
-0.146	0.375	-0.445	-0.15	98.52	71.604
0.254	-1.124	-1.393	-1.618	25.94	71.702
0.128	-0.343	-0.728	-1.03	-208.56	72.023
-0.175	0.973	-0.583	-0.734	-165.62	71.964
-0.135	0.665	0.392	0.781	-169.77	71.969
0.145	-1.359	-0.056	-0.042	-5.98	71.747
-0.043	-0.495	0.875	1.099	-108.85	71.885
-0.428	1.107	-0.696	-0.635	-53.04	71.81
-0.16	0.697	-0.858	-0.934	-311.6	72.165
-0.558	1.669	0.109	0.054	-107.88	71.886
-0.664	0.954	0.313	0.348	-235.37	72.057
-0.032	-0.755	-0.39	-0.443	-86.26	71.856
-0.119	-0.05	1.301	1.376	-249.51	72.079
0.136	-0.509	1.259	1.381	20.19	71.71
-0.018	0.341	-0.615	-0.559	268.52	71.374
0.232	0.092	-0.104	-0.438	52.94	71.665
0.065	0.617	-0.591	-0.614	-205.56	72.021
-0.038	0.562	0.371	0.744	-115.68	71.895
0.089	-0.308	-0.607	-0.941	66.44	71.647
-0.3	1.48	-0.319	-0.381	-144.06	71.935
-0.115	0.263	-0.044	-0.033	36.72	71.691
-0.372	0.941	-0.006	0.094	-187.3	71.992
-0.228	0.947	0.343	0.648	-137.05	71.925
0.248	-1.468	0.039	0.227	-93.27	71.867
-0.064	-0.128	-0.29	0.105	20.63	71.71
-0.079	-0.456	-0.594	-0.591	-269.39	72.107
0.013	0.093	-0.603	-0.658	-390.7	72.277
0.02	-0.15	-0.049	0.355	-107.34	71.884
-0.62	1.687	0.615	0.842	-117.11	71.899
0.377	-1.766	-0.312	-0.479	-102.45	71.879
-0.185	0.455	-0.334	0.051	75.73	71.636
-0.394	1.288	1.108	1.346	-48.71	71.804
-0.107	0.345	-0.409	-0.286	303.45	71.323
-0.562	1.871	-0.566	-0.675	-91.37	71.865
0.002	0.684	-0.66	-0.655	-175.82	71.978
-0.068	1.651	-0.022	0.072	-399.74	72.29
0.259	-0.396	0.31	0.033	-61.64	71.821
0.101	-1.171	0.576	0.551	-260.36	72.095
-0.446	1.042	-0.201	-0.072	-185.09	71.989
-0.065	0.2	-0.81	-0.588	1.22	71.736
0.058	-0.296	0.541	0.253	59.68	71.657
-0.018	0.955	-0.552	-0.739	-254.72	72.087
-0.237	1.267	0.952	1.065	-123.01	71.905
-0.35	1.532	0.273	0.496	-107.96	71.887
0.038	1.26	-0.809	-1.757	335.46	71.285
-0.118	0.45	-0.105	0.305	-106.86	71.883
0.155	-0.43	1.213	1.228	-117.81	71.897
-0.159	0.381	0.144	-0.275	-56.39	71.814
0.455	-1.761	0.495	0.728	-108.9	71.888
-0.123	0.608	-0.03	0.062	-146.55	71.939
-0.557	1.632	-0.348	-0.562	-131.87	71.92
-0.145	0.473	0.628	0.946	-283.56	72.126
-0.164	-0.255	-0.371	-0.433	-124.06	71.91
-0.162	0.384	-0.476	-0.564	-173.44	71.975
0.268	-1.215	-0.313	-0.419	-260.38	72.094
0.592	-0.738	0.783	0.676	-151.53	71.944
-0.151	0.946	0.69	0.484	35.56	71.69
-0.394	1.343	-0.07	-0.212	292.68	71.337
0.012	-0.432	0.132	0.043	-218.82	72.039
0.128	-0.689	1.265	1.385	-9.45	71.75
0.077	-0.837	-0.214	-0.167	-133.59	71.921
0.069	-0.756	0.171	0.582	-34.92	71.785
0.149	-0.135	-0.698	-0.747	-269.16	72.107
-0.025	-0.617	0.028	0.383	261.03	71.381
-0.424	1.577	0.226	0.179	-152.39	71.946
-0.033	0.641	0.066	0.418	-54.59	71.812
-0.337	1.08	-1.153	-1.213	-18.04	71.762
-0.078	0.197	0.25	0.582	-10.29	71.752
0.367	-1.462	-0.668	-0.867	-135.27	71.923
-0.162	0.817	-0.137	-0.267	284.28	71.349
-0.475	1.611	-0.134	-0.02	-87.63	71.859
-0.666	1.573	0.483	0.627	-160.27	71.959
0.125	0.127	-0.364	-0.756	-97.8	71.87
-0.526	1.388	-0.236	-0.415	-188.89	71.995
-0.223	1.161	1.033	1.228	-256.83	72.089
0.088	-0.105	-0.33	-0.596	-55.6	71.814
0.027	0.014	1.879	2.006	-115.27	71.895
-0.044	-0.011	0.592	0.965	-32.87	71.783
-0.076	-0.341	-0.563	-0.683	-285.83	72.13
0.123	0.202	-1.532	-1.733	-164.08	71.962
0.403	-1.597	0.203	0.323	-135.23	71.924
0.313	-0.425	-0.139	-0.26	-131.54	71.916
0.031	-0.624	-0.69	-1.037	-351.79	72.222
-0.619	1.734	-0.041	0.015	-125.38	71.912
0.021	-0.253	-0.397	-0.048	15.64	71.717
0.097	-0.742	0.346	0.811	-11.86	71.754
-0.096	-0.994	0.21	0.204	213.94	71.447
-0.361	0.611	0.072	-0.121	-59.1	71.817
-0.034	-0.161	-1.775	-2.252	-41.0	71.796
0.431	-1.449	-0.786	-0.926	-148.87	71.941
0.051	0.556	-0.13	-0.604	89.24	71.617
0.247	-1.28	-0.139	-0.234	-194.06	72.003
-0.559	1.57	0.098	-0.03	-144.0	71.936
-0.575	1.028	-0.754	-0.632	-91.6	71.863
0.006	0.118	-1.262	-1.359	-21.59	71.766
0.123	-0.465	0.239	0.353	-73.0	71.838
0.05	0.529	-0.525	-0.593	-36.53	71.788
-0.289	1.407	-0.745	-0.743	26.27	71.702
-0.432	1.551	0.209	0.305	-162.07	71.96
0.042	-0.539	0.096	0.497	-167.61	71.966
-0.136	1.162	0.466	0.698	-122.73	71.905
0.12	-0.777	-0.259	-0.751	253.0	71.393
0.07	0.198	0.02	-0.106	-152.16	71.946
-0.079	-0.477	0.639	0.74	-184.66	71.989
0.508	-0.935	0.439	0.285	-102.18	71.877
0.164	-0.646	-0.219	0.026	-248.42	72.078
-0.306	0.652	-0.077	-0.327	-67.19	71.828
0.003	-0.013	0.088	-0.021	23.77	71.706
0.283	-0.141	-0.157	0.008	372.62	71.23
-0.19	1.234	0.248	0.113	-313.22	72.168
-0.013	0.13	0.211	0.659	-167.98	71.966
0.037	0.531	1.066	1.152	-264.34	72.1
0.319	-0.959	-1.105	-1.12	-56.62	71.814
0.124	0.915	0.426	0.79	280.38	71.356
0.008	0.408	-0.721	-1.681	180.7	71.492
0.096	0.111	-0.951	-0.991	-195.0	72.003
0.044	-0.636	0.742	1.039	-330.75	72.192
-0.184	-0.019	-0.373	-0.264	-245.77	72.075
-0.155	0.092	0.567	0.906	-148.5	71.94
0.234	-1.309	-0.759	-0.935	-234.67	72.058
-0.353	0.908	0.789	0.673	-107.69	71.884
0.074	0.529	-0.733	-1.158	31.0	71.695
0.03	-0.228	-0.67	-0.369	-71.8	71.835
-0.004	-0.688	-0.648	-0.867	-109.97	71.888
0.171	0.901	-0.013	-0.054	335.14	71.281
0.473	-1.432	0.104	0.162	-260.58	72.095
0.123	0.068	0.597	0.627	-284.59	72.128
-0.153	-0.064	0.685	0.788	-236.82	72.063
0.48	-0.883	-0.294	-0.198	-168.93	71.967
-0.069	0.951	-0.419	-0.575	-20.46	71.766
0.334	-0.647	0.305	0.059	-85.63	71.854
0.05	-0.222	1.398	1.501	-312.57	72.166
-0.112	-0.069	0.921	0.964	-188.68	71.995
-0.263	1.334	-0.357	-0.211	-75.35	71.842
-0.069	0.673	-0.983	-1.055	55.82	71.662
0.64	-1.295	0.211	0.15	-205.52	72.019
0.102	-1.116	0.068	0.086	-288.13	72.134
0.228	-1.032	0.045	-0.063	-264.01	72.099
0.343	-1.07	0.784	0.749	-137.67	71.924
0.157	0.21	-0.153	-0.226	-59.16	71.821
0.041	-0.355	0.436	0.471	-3.05	71.745
-0.159	0.042	-1.04	-1.03	-210.55	72.025
-0.195	1.151	0.823	1.025	-272.21	72.11
0.115	0.204	-0.461	-0.716	26.65	71.702
0.034	0.153	0.343	0.003	13.68	71.719
-0.182	0.395	-1.87	-2.154	-213.28	72.029
-0.249	-0.099	-0.235	-0.303	-130.67	71.919
0.198	-1.002	-0.724	-0.645	-223.28	72.042
-0.01	-0.013	-0.603	-0.605	-387.04	72.272
0.316	-1.591	-0.296	-0.357	-120.98	71.903
0.123	0.174	0.529	1.068	147.99	71.536
-0.003	-0.919	0.152	0.061	-259.93	72.095
-0.102	0.6	0.221	0.485	-95.6	71.868
-0.556	1.594	0.314	0.439	-116.0	71.898
0.059	-0.692	-0.881	-1.066	-258.47	72.092
0.121	-0.013	-1.831	-2.168	-89.5	71.861
-0.148	1.0	-0.092	0.119	-106.7	71.884
-0.15	0.022	0.577	0.928	-112.93	71.891
-0.167	-0.119	0.092	0.209	-222.62	72.044
-0.212	0.619	1.074	1.059	-57.62	71.815
-0.322	1.612	-0.172	-0.11	-122.85	71.906
-0.01	0.09	-1.546	-1.628	-56.84	71.814
0.182	-1.25	-0.698	-0.825	-168.4	71.967
-0.1	-0.084	0.333	0.776	-43.15	71.796
0.247	-1.156	0.868	0.882	-8.71	71.749
-0.058	0.214	1.189	1.198	-108.51	71.885
-0.152	0.274	1.649	2.025	-78.4	71.846
0.112	-0.47	-0.57	-0.253	-89.1	71.859
-0.16	0.531	-0.226	-0.625	-145.84	71.936
0.102	-0.118	0.65	0.373	-10.33	71.751
0.013	0.09	1.263	1.527	90.19	71.614
-0.02	0.843	-0.687	-0.826	-199.1	72.009
0.121	-0.769	-0.287	-0.35	-145.74	71.937
-0.183	-0.094	0.334	0.21	320.42	71.3
0.018	0.284	1.346	1.566	-164.16	71.964
-0.035	0.669	0.443	0.833	-88.3	71.858
-0.207	1.357	0.315	0.415	-171.78	71.972
-0.061	1.126	0.533	0.525	-274.2	72.114
-0.301	0.276	-0.15	0.012	-186.56	71.991
-0.148	0.296	-0.811	-0.827	-262.53	72.097
-0.131	0.421	-0.827	-0.862	-312.21	72.166
-0.127	0.288	0.073	0.47	-107.72	71.884
-0.008	-0.195	-1.056	-1.174	-176.26	71.979
0.041	0.009	-0.795	-1.078	-242.21	72.069
-0.089	-0.324	0.757	0.662	-198.08	72.008
-0.018	-0.293	-0.132	-0.1	-142.99	71.936
-0.285	1.412	0.983	1.168	-91.95	71.863
0.496	-0.929	-0.425	-0.359	-147.3	71.937
0.043	-0.109	0.007	0.434	-30.79	71.779
0.109	0.205	-0.359	-0.773	-47.18	71.802
0.248	-1.355	-0.401	-0.6	-161.35	71.958
-0.106	-0.417	-0.522	-0.613	-94.74	71.869
0.183	0.295	0.845	0.967	-117.4	71.9
0.019	0.019	-0.872	-0.64	-81.31	71.848
0.118	0.321	-0.316	-0.4	-71.3	71.837
0.136	-1.106	-0.427	-0.407	-187.77	71.995
0.006	-0.891	-0.266	-0.305	-101.04	71.876
0.106	-0.259	0.537	0.688	22.93	71.707
-0.135	1.079	-0.313	-0.227	-279.51	72.121
-0.08	0.925	0.357	0.42	-60.21	71.82
-0.097	-0.493	-0.16	-0.314	-283.49	72.128
-0.161	0.729	-0.071	0.296	-186.82	71.992
0.186	-1.311	0.823	1.0	-96.43	71.869
0.066	0.177	0.099	-0.048	249.35	71.399
0.047	-0.424	-0.164	-0.092	-107.37	71.885
-0.213	1.096	0.046	-0.158	-132.19	71.918
0.078	-0.226	-0.425	-0.247	243.67	71.404
-0.135	1.074	-0.062	0.086	-81.9	71.85
0.101	-0.308	-0.008	0.174	-353.43	72.225
-0.013	-0.218	-0.684	-0.55	-211.75	72.027
0.223	-0.117	-0.388	-0.775	295.43	71.333
0.353	-1.027	-0.252	-0.09	-159.65	71.955
0.204	-1.658	0.383	0.51	-70.17	71.835
-0.025	0.81	0.468	0.6	-251.48	72.083
-0.109	0.241	-0.047	-0.127	-99.52	71.876
0.292	-1.573	-0.266	-0.31	-17.7	71.763
-0.183	0.036	-0.648	-0.698	-224.09	72.045
-0.117	-1.223	-0.142	-0.276	327.93	71.292
0.066	0.745	-0.293	-0.325	-254.98	72.087
-0.007	0.342	1.009	1.041	-342.92	72.209
0.105	0.266	-1.411	-1.591	-166.21	71.966
-0.231	1.6	-0.714	-0.934	-68.68	71.833
-0.012	-0.232	-0.274	-0.368	-95.63	71.872
-0.058	0.864	-0.422	-0.692	-137.56	71.925
0.147	-0.45	1.208	1.516	-70.79	71.837
0.186	-0.466	-1.238	-1.323	-259.83	72.093
0.394	-1.667	0.505	0.618	-110.36	71.889
-0.174	0.626	0.711	0.891	-263.93	72.099
0.251	-1.198	0.096	0.283	-169.0	71.969
-0.066	0.074	-0.476	-0.885	-270.99	72.109
-0.014	-0.376	-0.66	-1.13	218.88	71.44
-0.28	1.273	0.464	0.638	-151.23	71.944
-0.061	-0.468	-0.872	-0.927	-104.26	71.879
-0.003	-0.139	0.166	-0.231	-113.36	71.892
0.094	0.408	0.038	0.161	-239.67	72.067
-0.258	1.315	-0.52	-0.527	-178.57	71.982
-0.138	0.485	-0.699	-0.823	-295.45	72.143
-0.129	1.462	-0.374	-0.47	-13.01	71.757
-0.101	-1.176	0.054	0.004	285.45	71.35
0.142	-1.197	-0.472	-0.465	-310.93	72.165
-0.05	-0.258	0.4	0.784	-1.36	71.74
-0.117	0.095	0.661	0.791	13.67	71.721
-0.029	0.439	0.917	1.03	-182.87	71.99
-0.012	-0.628	-0.737	-0.882	-133.2	71.919
0.262	-0.994	-1.273	-1.496	-234.4	72.059
0.012	0.044	-0.212	-0.496	-23.79	71.77
-0.06	0.72	0.511	0.872	-112.41	71.891
-0.066	0.081	0.335	0.624	-126.82	71.911
-0.346	1.259	-0.057	-0.287	-156.08	71.951
-0.038	0.703	-0.694	-0.986	-140.45	71.929
0.109	1.139	-0.47	-0.83	195.92	71.472
-0.083	0.634	-0.272	0.043	13.14	71.721
0.033	-0.831	0.739	0.703	-137.42	71.924
-0.082	0.551	-0.338	-0.19	276.23	71.36
0.126	0.2	0.223	0.578	228.67	71.428
0.445	-1.581	0.116	0.136	-77.76	71.845
0.126	-0.261	0.021	0.034	-21.48	71.767
0.089	-0.916	0.415	0.441	-186.57	71.995
-0.062	0.558	0.234	0.44	-47.23	71.802
0.196	0.162	0.093	0.152	-242.73	72.072
-0.116	0.169	-0.612	-0.845	-92.43	71.864
0.021	0.131	-0.869	-1.073	-237.69	72.063
0.137	-0.117	-0.206	-0.184	20.14	71.712
0.31	-1.38	0.059	-0.069	-158.57	71.954
0.348	-0.629	0.064	-0.014	-82.4	71.849
-0.023	-0.791	-0.264	-0.171	-253.98	72.087
0.149	-0.112	0.393	0.837	-45.12	71.799
0.024	-0.155	0.071	-0.036	45.65	71.676
0.192	-1.026	0.874	1.042	-252.91	72.084
0.037	-0.539	0.217	0.327	-167.85	71.969
0.04	0.0	-1.05	-1.092	-325.07	72.184
0.435	-0.98	0.036	0.204	-170.25	71.969
0.133	-0.724	-0.534	-0.652	-196.04	72.006
-0.015	-0.568	0.697	0.798	-313.86	72.169
-0.294	0.414	-0.008	-0.113	-63.77	71.823
0.081	-0.425	-0.869	-1.1	-96.16	71.872
-0.093	0.506	-1.294	-1.655	-60.57	71.822
0.012	-0.332	0.515	0.585	-182.19	71.989
-0.053	0.853	0.672	0.842	-293.77	72.141
0.023	-0.407	-0.363	-0.082	129.25	71.563
-0.112	-0.458	0.651	1.006	-11.96	71.754
-0.076	0.757	-0.772	-1.077	-251.52	72.082
0.395	-0.75	-0.219	-0.113	11.67	71.721
-0.132	1.5	1.114	1.445	2.43	71.736
0.039	-0.714	0.094	-0.188	26.88	71.702
-0.094	-0.048	0.032	0.506	36.68	71.688
-0.083	0.124	-1.878	-2.368	-25.46	71.773
-0.209	0.63	0.509	0.886	-195.66	72.004
-0.034	-0.625	-0.15	-0.26	-120.07	71.902
-0.245	1.438	0.157	0.24	-272.87	72.111
-0.009	-0.167	0.026	0.093	-169.64	71.972
0.079	0.36	-0.117	-0.062	-163.83	71.964
-0.146	1.137	0.138	0.333	-121.3	71.904
-0.555	1.729	-0.324	-0.376	-124.08	71.909
-0.398	1.396	0.342	0.531	-175.29	71.977
0.01	-0.07	-0.052	0.36	-32.31	71.782
-0.06	0.133	0.81	0.603	-55.32	71.812
0.045	0.172	1.581	2.042	11.12	71.724
0.048	0.812	0.057	0.087	150.58	71.533
0.144	-0.257	-0.109	-0.021	286.23	71.348
0.158	-0.782	-0.763	-0.938	-245.29	72.073
0.246	-1.119	-0.896	-1.004	-278.23	72.118
-0.19	1.571	0.009	-0.009	-9.21	71.751
-0.016	-0.495	-0.576	-0.901	-135.55	71.922
0.627	-1.561	-0.013	-0.087	-142.78	71.935
0.08	0.203	-0.318	-0.613	111.04	71.587
0.166	-0.125	-0.667	-1.073	211.32	71.45
0.111	-0.285	-0.39	-0.794	-129.02	71.913
-0.163	-0.219	-0.556	-1.131	168.69	71.508
-0.131	0.13	1.34	1.627	-119.8	71.903
-0.453	1.58	0.002	0.017	-70.85	71.835
0.133	-0.856	-0.134	-0.464	-89.45	71.86
0.02	-0.52	1.049	1.152	-178.41	71.982
-0.08	-0.439	-0.741	-0.83	-109.82	71.887
-0.1	-0.348	0.591	0.507	-141.07	71.929
0.057	0.568	0.884	0.995	-49.64	71.805
-0.122	0.553	-1.028	-1.195	-216.46	72.035
0.232	-1.511	0.587	0.773	-96.0	71.869
-0.036	0.612	0.288	0.348	25.56	71.703
-0.546	1.42	0.248	0.393	-180.82	71.985
0.005	-0.817	0.682	0.643	-252.6	72.085
0.082	-0.719	0.536	0.777	-39.81	71.792
0.119	-0.584	-0.06	0.128	175.15	71.499
0.133	-0.798	0.403	0.472	-194.01	72.004
0.009	-0.18	-0.913	-0.84	-196.08	72.005
-0.066	-0.154	0.194	0.347	246.9	71.402
0.17	-1.633	0.232	0.269	-63.28	71.825
-0.11	-0.133	-0.224	-0.311	-119.45	71.901
0.025	0.383	-0.053	-0.403	49.44	71.671
-0.104	1.117	-0.573	-0.559	-324.38	72.184
0.07	-0.649	-0.68	-1.072	-135.68	71.922
0.106	-0.481	1.099	1.398	-102.46	71.879
0.108	-0.111	0.346	0.412	240.39	71.411
0.166	-0.182	0.77	0.949	-126.28	71.913
0.077	0.442	-0.662	-0.809	-127.84	71.912
-0.057	-0.21	-1.56	-1.769	-203.89	72.017
-0.039	-0.17	-0.673	-1.119	150.98	71.532
0.12	-0.32	0.098	0.11	281.19	71.354
0.142	-0.396	1.386	1.712	-106.33	71.885
0.026	-0.815	-0.595	-0.538	-188.82	71.995
0.47	-0.904	-0.361	-0.17	-110.72	71.888
0.493	-1.361	0.716	0.643	-52.67	71.81
0.546	-0.998	1.426	1.769	-226.65	72.049
0.352	-1.719	-0.478	-0.669	-96.38	71.871
-0.061	-0.026	0.597	0.739	-213.79	72.031
-0.26	1.557	0.753	0.984	-90.94	71.863
0.084	0.127	-0.083	-0.545	1.09	71.737
0.37	-0.653	0.194	0.188	20.11	71.709
-0.108	-0.138	-0.72	-0.696	-181.95	71.986
0.118	0.109	0.781	0.737	-194.96	72.004
0.052	-0.926	0.092	0.234	-192.96	72.002
-0.09	0.678	-0.204	-0.161	-164.6	71.963
-0.301	1.039	0.316	0.088	26.51	71.702
0.141	0.222	-0.567	-0.76	42.66	71.683
0.091	-0.991	-0.791	-0.982	-299.59	72.148
-0.096	-0.549	-0.506	-0.617	-12.03	71.756
-0.031	-0.848	0.366	0.376	109.16	71.586
0.169	-0.136	0.739	0.797	-156.45	71.951
-0.099	-0.195	0.295	0.427	306.48	71.32
0.073	-0.317	-0.245	0.146	0.65	71.737
0.007	0.161	0.745	1.096	192.83	71.475
-0.326	1.806	-0.341	-0.367	-64.43	71.828
-0.024	-0.014	-0.015	-0.419	-30.09	71.779
-0.11	0.813	-0.545	-0.877	-253.52	72.085
-0.084	-0.177	-0.495	-0.678	-135.55	71.923
-0.11	0.425	-0.579	-0.738	-60.72	71.821
-0.275	0.931	1.389	1.471	-111.03	71.888
0.082	-0.194	0.116	0.573	34.72	71.691
0.182	-0.83	0.611	0.966	-223.79	72.043
0.018	0.459	0.427	0.691	-148.65	71.941
-0.097	-0.396	-0.791	-0.838	-100.46	71.874
0.075	0.61	-0.005	0.078	-242.33	72.071
0.126	-0.15	1.509	1.675	-223.04	72.043
0.206	-1.022	-0.881	-0.963	-281.58	72.123
-0.018	-0.757	-0.097	-0.235	-238.3	72.065
0.11	-0.511	-0.436	-0.704	-151.92	71.945
0.12	-0.36	0.67	0.717	-141.31	71.931
-0.103	-0.286	-0.538	-0.536	-279.49	72.121
0.121	-1.541	0.049	0.109	-66.72	71.829
-0.031	0.071	-1.396	-1.654	-112.29	71.893
0.162	-0.635	0.054	0.28	-244.13	72.072
0.152	-0.798	-0.999	-1.142	26.43	71.702
0.212	-0.929	1.436	1.661	0.65	71.736
0.068	0.12	-0.239	-0.172	-142.99	71.933
0.264	-1.293	0.165	0.377	-120.34	71.903
0.061	-0.568	0.589	0.949	-142.84	71.932
-0.063	0.364	-1.408	-1.798	0.79	71.738
-0.32	1.096	-0.369	-0.184	37.1	71.688
-0.068	-0.014	0.414	0.1	56.43	71.661
-0.335	1.505	-0.135	-0.09	-154.85	71.949
-0.069	-0.714	0.287	0.378	-236.22	72.061
0.039	-0.273	0.508	0.734	218.5	71.44
0.098	-0.336	-0.006	-0.369	-102.64	71.877
-0.034	0.449	-0.125	-0.133	-32.58	71.786
-0.105	0.585	1.496	1.722	-150.6	71.942
0.127	-0.188	1.126	1.388	-102.07	71.879
0.062	-0.154	0.024	0.458	-10.49	71.752
0.016	-0.715	0.758	0.833	-198.37	72.009
0.115	-0.507	0.451	0.831	-132.16	71.918
-0.137	-0.212	-0.187	-0.17	-282.67	72.126
0.11	-0.459	0.703	0.867	-266.75	72.104
0.051	-0.014	0.131	0.489	-65.42	71.827
-0.109	-0.214	0.705	0.893	-117.47	71.897
0.071	-0.545	-0.227	-0.491	-62.64	71.823
0.078	0.472	0.483	0.571	-228.12	72.05
-0.195	1.42	0.341	0.43	-82.83	71.852
-0.097	1.01	-0.652	-0.601	-155.68	71.95
0.045	-0.72	-0.233	-0.193	-117.91	71.899
0.007	-0.711	0.607	0.792	-130.9	71.916
-0.208	0.108	-0.552	-0.62	-258.89	72.094
0.098	-1.126	0.029	-0.029	-165.66	71.964
0.017	0.141	-0.477	-0.498	168.23	71.51
0.042	0.776	-0.219	-0.128	-162.01	71.958
-0.269	1.364	-0.195	-0.345	-241.4	72.067
-0.123	-0.078	-0.519	-0.768	39.46	71.686
-0.019	0.576	0.414	0.441	-83.14	71.851
0.127	-0.554	0.23	0.29	-117.98	71.899
0.103	-0.37	0.15	0.565	-79.28	71.845
-0.103	0.957	0.601	0.683	-222.94	72.043
0.181	-0.098	0.598	0.987	252.25	71.394
0.095	0.033	0.628	0.958	-111.79	71.89
0.122	-0.947	-0.09	-0.123	-124.61	71.908
-0.14	0.926	-0.855	-0.928	-194.78	72.006
0.106	-0.055	1.799	2.094	-158.2	71.954
0.046	0.091	-0.279	-0.211	188.15	71.479
0.064	1.134	0.351	0.49	136.45	71.553
-0.15	-0.581	-0.093	-0.175	292.35	71.339
0.105	-0.197	-0.071	-0.169	5.91	71.732
-0.096	0.972	0.045	0.166	-69.53	71.833
0.161	0.096	-0.033	-0.018	-37.16	71.791
-0.151	1.052	0.792	1.01	-266.14	72.102
-0.081	-0.458	0.094	0.141	-102.39	71.881
0.103	0.172	0.478	0.875	-44.37	71.798
0.278	-1.094	-1.149	-1.256	23.76	71.705
0.044	0.763	0.271	0.504	3.24	71.734
0.11	-0.358	0.335	0.377	-13.91	71.759
-0.243	0.598	1.386	1.55	-211.16	72.027
-0.218	0.118	-0.603	-0.699	-234.52	72.06
0.073	-0.635	-0.47	-0.829	-232.98	72.056
-0.041	-0.612	0.52	0.453	-178.05	71.98
0.074	-1.251	-0.574	-0.595	-40.22	71.792
-0.403	1.625	-0.111	-0.124	-99.38	71.875
-0.157	1.236	-0.542	-0.669	-121.97	71.904
